,issue_d,loan_status,term,funded_amnt,annual_inc,dti,fico_range_low,mths_since_last_delinq,emp_length,grade,home_ownership,issue_date
1070695,2016-02-01,Fully Paid, 36 months,10000.0,80000.0,8.97,690.0,,10+ years,A,RENT,2016-02-01
1070696,2016-02-01,Fully Paid, 36 months,6225.0,43000.0,24.14,680.0,,1 year,D,MORTGAGE,2016-02-01
1070697,2016-02-01,Fully Paid, 36 months,30000.0,88000.0,24.01,725.0,,8 years,B,RENT,2016-02-01
1070698,2016-02-01,Fully Paid, 36 months,12000.0,53177.0,11.65,665.0,,9 years,B,MORTGAGE,2016-02-01
1070699,2016-02-01,Fully Paid, 36 months,13000.0,93000.0,16.2,700.0,21.0,2 years,A,MORTGAGE,2016-02-01
1070700,2016-02-01,Charged Off, 60 months,28000.0,110000.0,22.37,705.0,,10+ years,C,MORTGAGE,2016-02-01
1070701,2016-02-01,Fully Paid, 36 months,12000.0,40000.0,33.42,670.0,14.0,,B,MORTGAGE,2016-02-01
1070702,2016-02-01,Fully Paid, 36 months,13325.0,100000.0,9.12,675.0,16.0,5 years,B,MORTGAGE,2016-02-01
1070703,2016-02-01,Charged Off, 36 months,5000.0,28000.0,34.98,660.0,31.0,,E,MORTGAGE,2016-02-01
1070704,2016-02-01,Current, 60 months,20000.0,70000.0,18.27,695.0,53.0,10+ years,E,RENT,2016-02-01
1070705,2016-02-01,Fully Paid, 36 months,4800.0,33000.0,8.83,730.0,,1 year,B,RENT,2016-02-01
1070706,2016-02-01,Charged Off, 60 months,16000.0,100000.0,7.16,680.0,,5 years,C,RENT,2016-02-01
1070707,2016-02-01,Fully Paid, 36 months,5000.0,55000.0,2.42,665.0,,5 years,B,MORTGAGE,2016-02-01
1070708,2016-02-01,Fully Paid, 36 months,5000.0,57000.0,9.22,665.0,26.0,10+ years,D,MORTGAGE,2016-02-01
1070709,2016-02-01,Fully Paid, 36 months,17450.0,46000.0,26.04,725.0,46.0,10+ years,B,MORTGAGE,2016-02-01
1070710,2016-02-01,Fully Paid, 36 months,25000.0,128000.0,9.66,695.0,47.0,7 years,B,RENT,2016-02-01
1070711,2016-02-01,Fully Paid, 36 months,6875.0,42600.0,27.69,735.0,76.0,8 years,B,MORTGAGE,2016-02-01
1070712,2016-02-01,Charged Off, 36 months,4550.0,12000.0,30.9,680.0,80.0,,E,RENT,2016-02-01
1070713,2016-02-01,Fully Paid, 36 months,10000.0,83000.0,6.49,660.0,14.0,10+ years,E,MORTGAGE,2016-02-01
1070714,2016-02-01,Fully Paid, 36 months,10000.0,48000.0,34.88,700.0,,7 years,B,OWN,2016-02-01
1070715,2016-02-01,Fully Paid, 36 months,14000.0,40000.0,36.69,710.0,,3 years,C,MORTGAGE,2016-02-01
1070716,2016-02-01,Fully Paid, 36 months,20800.0,80000.0,20.36,730.0,,10+ years,B,RENT,2016-02-01
1070717,2016-02-01,Charged Off, 36 months,35000.0,340000.0,11.91,695.0,19.0,5 years,C,MORTGAGE,2016-02-01
1070718,2016-02-01,Current, 36 months,23000.0,100050.0,23.59,780.0,,10+ years,B,RENT,2016-02-01
1070719,2016-02-01,Charged Off, 36 months,21000.0,118000.0,24.58,670.0,44.0,10+ years,C,MORTGAGE,2016-02-01
1070720,2016-02-01,Charged Off, 36 months,12000.0,98000.0,29.5,765.0,40.0,< 1 year,A,MORTGAGE,2016-02-01
1070721,2016-02-01,Fully Paid, 36 months,3000.0,27000.0,22.04,755.0,,3 years,B,OWN,2016-02-01
1070722,2016-02-01,Fully Paid, 60 months,20000.0,100000.0,18.56,675.0,7.0,1 year,B,RENT,2016-02-01
1070723,2016-02-01,Fully Paid, 36 months,19000.0,160000.0,9.74,805.0,,2 years,A,OWN,2016-02-01
1070724,2016-02-01,Fully Paid, 36 months,8400.0,53000.0,30.5,680.0,,< 1 year,C,RENT,2016-02-01
1070725,2016-02-01,In Grace Period, 60 months,24000.0,66000.0,24.64,700.0,68.0,10+ years,C,OWN,2016-02-01
1070726,2016-02-01,Fully Paid, 36 months,30000.0,100000.0,22.62,660.0,46.0,7 years,B,MORTGAGE,2016-02-01
1070727,2016-02-01,Fully Paid, 36 months,12000.0,76000.0,11.42,675.0,29.0,6 years,B,RENT,2016-02-01
1070728,2016-02-01,Fully Paid, 36 months,5500.0,72000.0,11.09,675.0,25.0,2 years,E,MORTGAGE,2016-02-01
1070729,2016-02-01,Fully Paid, 36 months,14400.0,32500.0,16.17,715.0,40.0,9 years,B,OWN,2016-02-01
1070730,2016-02-01,Fully Paid, 36 months,13200.0,105000.0,11.61,675.0,,2 years,C,MORTGAGE,2016-02-01
1070731,2016-02-01,Charged Off, 60 months,15000.0,42000.0,21.94,660.0,33.0,10+ years,F,MORTGAGE,2016-02-01
1070732,2016-02-01,Charged Off, 36 months,12000.0,33300.0,26.2,670.0,47.0,,B,RENT,2016-02-01
1070733,2016-02-01,Fully Paid, 60 months,18400.0,76000.0,17.37,690.0,,10+ years,C,MORTGAGE,2016-02-01
1070734,2016-02-01,Fully Paid, 36 months,24000.0,116000.0,11.59,675.0,13.0,3 years,C,MORTGAGE,2016-02-01
1070735,2016-02-01,Charged Off, 60 months,18500.0,60880.0,19.22,660.0,13.0,,E,MORTGAGE,2016-02-01
1070736,2016-02-01,Fully Paid, 36 months,13000.0,45000.0,5.76,685.0,,1 year,B,OWN,2016-02-01
1070737,2016-02-01,Fully Paid, 36 months,10000.0,58000.0,9.81,710.0,25.0,10+ years,C,MORTGAGE,2016-02-01
1070738,2016-02-01,Fully Paid, 36 months,6300.0,75000.0,15.98,680.0,14.0,1 year,B,OWN,2016-02-01
1070739,2016-02-01,Fully Paid, 36 months,10000.0,65000.0,9.9,665.0,,10+ years,B,MORTGAGE,2016-02-01
1070740,2016-02-01,Fully Paid, 36 months,6500.0,55000.0,23.69,765.0,,3 years,B,RENT,2016-02-01
1070741,2016-02-01,Charged Off, 36 months,18000.0,70000.0,16.72,675.0,37.0,10+ years,C,RENT,2016-02-01
1070742,2016-02-01,Fully Paid, 36 months,8000.0,29000.0,25.05,675.0,11.0,< 1 year,B,OWN,2016-02-01
1070743,2016-02-01,Fully Paid, 36 months,21000.0,70000.0,29.43,790.0,,10+ years,A,MORTGAGE,2016-02-01
1070744,2016-02-01,Fully Paid, 36 months,27550.0,55109.0,40.17,680.0,,10+ years,F,RENT,2016-02-01
1070745,2016-02-01,Fully Paid, 36 months,16000.0,90000.0,19.87,695.0,38.0,2 years,A,MORTGAGE,2016-02-01
1070746,2016-02-01,Fully Paid, 36 months,15000.0,168000.0,11.88,685.0,55.0,4 years,A,MORTGAGE,2016-02-01
1070747,2016-02-01,Fully Paid, 60 months,35000.0,106000.0,18.59,680.0,,3 years,C,MORTGAGE,2016-02-01
1070748,2016-02-01,Fully Paid, 36 months,5000.0,106000.0,3.68,665.0,28.0,4 years,B,MORTGAGE,2016-02-01
1070749,2016-02-01,Charged Off, 36 months,8125.0,60000.0,18.12,695.0,,1 year,D,MORTGAGE,2016-02-01
1070750,2016-02-01,Charged Off, 60 months,22000.0,130000.0,18.76,730.0,,10+ years,C,RENT,2016-02-01
1070751,2016-02-01,Fully Paid, 36 months,6000.0,90000.0,33.12,665.0,2.0,10+ years,B,MORTGAGE,2016-02-01
1070752,2016-02-01,Fully Paid, 36 months,12000.0,70000.0,22.22,700.0,,8 years,A,MORTGAGE,2016-02-01
1070753,2016-02-01,Fully Paid, 36 months,12000.0,90000.0,12.6,710.0,,5 years,A,MORTGAGE,2016-02-01
1070754,2016-02-01,Fully Paid, 60 months,25000.0,125000.0,29.6,690.0,18.0,10+ years,E,MORTGAGE,2016-02-01
1070755,2016-02-01,Fully Paid, 36 months,20000.0,160000.0,6.26,685.0,50.0,2 years,A,MORTGAGE,2016-02-01
1070756,2016-02-01,Current, 60 months,28800.0,74400.0,30.5,695.0,,10+ years,B,MORTGAGE,2016-02-01
1070757,2016-02-01,Fully Paid, 60 months,28000.0,96000.0,26.17,715.0,20.0,10+ years,D,MORTGAGE,2016-02-01
1070758,2016-02-01,Charged Off, 36 months,5000.0,97200.0,19.28,730.0,75.0,8 years,B,OWN,2016-02-01
1070759,2016-02-01,Fully Paid, 36 months,20000.0,65000.0,14.92,695.0,10.0,7 years,B,MORTGAGE,2016-02-01
1070760,2016-02-01,Charged Off, 60 months,20000.0,58732.0,48.39,670.0,45.0,6 years,E,OWN,2016-02-01
1070761,2016-02-01,Fully Paid, 36 months,10000.0,43300.0,15.8,660.0,,10+ years,B,RENT,2016-02-01
1070762,2016-02-01,Fully Paid, 36 months,6000.0,44000.0,27.14,670.0,14.0,8 years,C,MORTGAGE,2016-02-01
1070763,2016-02-01,Fully Paid, 60 months,31700.0,55000.0,45.32,685.0,,< 1 year,F,MORTGAGE,2016-02-01
1070764,2016-02-01,Current, 60 months,12000.0,90500.0,42.32,675.0,,,D,RENT,2016-02-01
1070765,2016-02-01,Charged Off, 36 months,3700.0,54000.0,22.16,660.0,37.0,3 years,D,MORTGAGE,2016-02-01
1070766,2016-02-01,Fully Paid, 36 months,25000.0,120000.0,23.83,720.0,7.0,1 year,A,MORTGAGE,2016-02-01
1070767,2016-02-01,Fully Paid, 36 months,25000.0,181000.0,12.55,665.0,4.0,4 years,C,MORTGAGE,2016-02-01
1070768,2016-02-01,Fully Paid, 36 months,10000.0,110000.0,7.79,700.0,,3 years,A,RENT,2016-02-01
1070769,2016-02-01,Fully Paid, 36 months,25000.0,75000.0,11.76,670.0,,10+ years,C,OWN,2016-02-01
1070770,2016-02-01,Fully Paid, 60 months,20400.0,53000.0,14.67,685.0,,10+ years,B,RENT,2016-02-01
1070771,2016-02-01,Fully Paid, 36 months,6000.0,40000.0,29.16,690.0,,< 1 year,B,RENT,2016-02-01
1070772,2016-02-01,Fully Paid, 60 months,14000.0,102000.0,10.16,670.0,5.0,7 years,C,RENT,2016-02-01
1070773,2016-02-01,Fully Paid, 36 months,20000.0,44344.0,14.79,665.0,58.0,10+ years,B,RENT,2016-02-01
1070774,2016-02-01,Fully Paid, 36 months,35000.0,94650.0,11.91,805.0,,10+ years,A,MORTGAGE,2016-02-01
1070775,2016-02-01,Fully Paid, 36 months,22225.0,95000.0,18.1,670.0,,4 years,D,MORTGAGE,2016-02-01
1070776,2016-02-01,Fully Paid, 36 months,8000.0,85000.0,25.98,660.0,4.0,1 year,B,RENT,2016-02-01
1070777,2016-02-01,Late (31-120 days), 36 months,16800.0,120000.0,11.03,675.0,,3 years,C,MORTGAGE,2016-02-01
1070778,2016-02-01,Fully Paid, 36 months,16000.0,65000.0,7.94,715.0,,10+ years,B,RENT,2016-02-01
1070779,2016-02-01,Fully Paid, 36 months,35000.0,95000.0,22.66,700.0,,9 years,C,MORTGAGE,2016-02-01
1070780,2016-02-01,Fully Paid, 36 months,8000.0,69000.0,12.33,675.0,,10+ years,B,RENT,2016-02-01
1070781,2016-02-01,Charged Off, 60 months,24000.0,85000.0,21.94,705.0,,10+ years,D,OWN,2016-02-01
1070782,2016-02-01,Fully Paid, 60 months,30000.0,156000.0,24.17,710.0,74.0,10+ years,E,MORTGAGE,2016-02-01
1070783,2016-02-01,Charged Off, 36 months,6000.0,207000.0,2.98,685.0,3.0,10+ years,B,MORTGAGE,2016-02-01
1070784,2016-02-01,Fully Paid, 36 months,20000.0,110000.0,4.72,710.0,,10+ years,B,RENT,2016-02-01
1070785,2016-02-01,Fully Paid, 60 months,28000.0,155000.0,15.65,685.0,30.0,2 years,B,MORTGAGE,2016-02-01
1070786,2016-02-01,Fully Paid, 36 months,20000.0,85000.0,15.3,690.0,16.0,4 years,D,MORTGAGE,2016-02-01
1070787,2016-02-01,Fully Paid, 36 months,25000.0,40866.0,19.15,660.0,17.0,10+ years,D,MORTGAGE,2016-02-01
1070788,2016-02-01,Fully Paid, 36 months,9000.0,69000.0,12.33,750.0,,10+ years,A,MORTGAGE,2016-02-01
1070789,2016-02-01,Fully Paid, 36 months,18000.0,118000.0,19.49,680.0,10.0,10+ years,B,MORTGAGE,2016-02-01
1070790,2016-02-01,Fully Paid, 36 months,15000.0,85000.0,25.23,675.0,3.0,5 years,B,MORTGAGE,2016-02-01
1070791,2016-02-01,Fully Paid, 36 months,1475.0,38000.0,42.39,680.0,5.0,2 years,E,MORTGAGE,2016-02-01
1070792,2016-02-01,Fully Paid, 60 months,22775.0,65000.0,36.24,670.0,,1 year,F,RENT,2016-02-01
1070793,2016-02-01,Fully Paid, 36 months,7000.0,65000.0,9.69,665.0,46.0,10+ years,B,RENT,2016-02-01
1070795,2016-02-01,Fully Paid, 36 months,12000.0,37440.0,10.42,665.0,60.0,< 1 year,B,OWN,2016-02-01
1070796,2016-02-01,Fully Paid, 60 months,10000.0,166548.0,14.79,710.0,,10+ years,B,MORTGAGE,2016-02-01
1070797,2016-02-01,Fully Paid, 36 months,10000.0,50000.0,10.58,675.0,,7 years,B,RENT,2016-02-01
1070798,2016-02-01,Fully Paid, 36 months,20000.0,130000.0,7.82,665.0,73.0,7 years,B,OWN,2016-02-01
1070799,2016-02-01,Current, 60 months,30000.0,80000.0,31.85,700.0,55.0,10+ years,C,RENT,2016-02-01
1070800,2016-02-01,Fully Paid, 36 months,34500.0,70000.0,9.26,680.0,2.0,10+ years,B,MORTGAGE,2016-02-01
1070801,2016-02-01,Current, 36 months,28000.0,260000.0,15.62,705.0,9.0,10+ years,A,MORTGAGE,2016-02-01
1070802,2016-02-01,Fully Paid, 36 months,24950.0,86355.0,23.54,665.0,77.0,8 years,D,RENT,2016-02-01
1070803,2016-02-01,Fully Paid, 36 months,30000.0,115000.0,13.88,680.0,,7 years,C,MORTGAGE,2016-02-01
1070804,2016-02-01,Fully Paid, 36 months,28000.0,56000.0,23.85,685.0,,,C,MORTGAGE,2016-02-01
1070805,2016-02-01,Fully Paid, 36 months,6000.0,81000.0,0.99,680.0,62.0,7 years,B,RENT,2016-02-01
1070806,2016-02-01,Fully Paid, 36 months,10000.0,45000.0,12.3,695.0,47.0,3 years,C,RENT,2016-02-01
1070807,2016-02-01,Fully Paid, 36 months,6400.0,70000.0,19.85,755.0,21.0,10+ years,A,MORTGAGE,2016-02-01
1070808,2016-02-01,Fully Paid, 36 months,20000.0,42000.0,19.11,660.0,,10+ years,C,RENT,2016-02-01
1070809,2016-02-01,Fully Paid, 36 months,6600.0,80000.0,30.39,660.0,60.0,10+ years,C,OWN,2016-02-01
1070810,2016-02-01,Fully Paid, 36 months,6850.0,22880.0,10.7,675.0,,1 year,E,RENT,2016-02-01
1070811,2016-02-01,Fully Paid, 36 months,35000.0,126000.0,18.49,715.0,73.0,9 years,A,OWN,2016-02-01
1070812,2016-02-01,Fully Paid, 36 months,26000.0,58000.0,18.6,680.0,,10+ years,A,MORTGAGE,2016-02-01
1070813,2016-02-01,Fully Paid, 60 months,21000.0,48000.0,21.1,660.0,,,C,MORTGAGE,2016-02-01
1070814,2016-02-01,Fully Paid, 36 months,21000.0,100000.0,9.55,725.0,,10+ years,A,MORTGAGE,2016-02-01
1070815,2016-02-01,Fully Paid, 36 months,14875.0,50000.0,10.01,665.0,34.0,2 years,C,MORTGAGE,2016-02-01
1070816,2016-02-01,Current, 60 months,13000.0,35000.0,39.44,665.0,44.0,10+ years,D,MORTGAGE,2016-02-01
1070817,2016-02-01,Fully Paid, 36 months,8000.0,37000.0,26.08,660.0,,4 years,C,MORTGAGE,2016-02-01
1070818,2016-02-01,Charged Off, 36 months,7800.0,36328.99,13.05,670.0,,10+ years,B,RENT,2016-02-01
1070819,2016-02-01,Fully Paid, 36 months,10000.0,88000.0,20.39,725.0,18.0,10+ years,A,MORTGAGE,2016-02-01
1070820,2016-02-01,Current, 60 months,14000.0,151000.0,10.78,700.0,64.0,3 years,A,MORTGAGE,2016-02-01
1070821,2016-02-01,Late (31-120 days), 36 months,15000.0,120000.0,14.01,695.0,13.0,10+ years,B,MORTGAGE,2016-02-01
1070822,2016-02-01,Charged Off, 36 months,15100.0,42000.0,28.93,665.0,7.0,1 year,D,OWN,2016-02-01
1070823,2016-02-01,Fully Paid, 36 months,5000.0,62000.0,2.73,710.0,56.0,4 years,A,MORTGAGE,2016-02-01
1070824,2016-02-01,Charged Off, 60 months,21000.0,110000.0,31.39,665.0,,< 1 year,D,RENT,2016-02-01
1070825,2016-02-01,Fully Paid, 36 months,16000.0,60000.0,28.08,720.0,,10+ years,A,RENT,2016-02-01
1070826,2016-02-01,Fully Paid, 36 months,28000.0,125000.0,7.23,660.0,2.0,5 years,C,MORTGAGE,2016-02-01
1070827,2016-02-01,Fully Paid, 36 months,6000.0,80000.0,28.94,700.0,,2 years,C,MORTGAGE,2016-02-01
1070828,2016-02-01,Current, 60 months,16800.0,84405.0,14.73,760.0,,8 years,A,RENT,2016-02-01
1070829,2016-02-01,Current, 60 months,10000.0,33000.0,32.84,710.0,,3 years,B,RENT,2016-02-01
1070830,2016-02-01,Charged Off, 36 months,11975.0,51762.0,23.83,665.0,74.0,9 years,F,RENT,2016-02-01
1070831,2016-02-01,Fully Paid, 36 months,21000.0,70000.0,25.95,695.0,,10+ years,B,MORTGAGE,2016-02-01
1070832,2016-02-01,Fully Paid, 36 months,6600.0,180000.0,2.6,705.0,63.0,5 years,A,MORTGAGE,2016-02-01
1070833,2016-02-01,Fully Paid, 36 months,25200.0,100000.0,20.46,725.0,11.0,3 years,A,RENT,2016-02-01
1070834,2016-02-01,Fully Paid, 36 months,12800.0,30500.0,6.81,675.0,47.0,< 1 year,D,OWN,2016-02-01
1070835,2016-02-01,Current, 60 months,20000.0,135000.0,9.86,755.0,,5 years,B,OWN,2016-02-01
1070836,2016-02-01,Fully Paid, 36 months,9000.0,75000.0,8.83,755.0,18.0,10+ years,A,MORTGAGE,2016-02-01
1070837,2016-02-01,Fully Paid, 60 months,35000.0,101000.0,4.69,740.0,34.0,10+ years,B,MORTGAGE,2016-02-01
1070838,2016-02-01,Charged Off, 36 months,14400.0,40000.0,32.64,665.0,,< 1 year,E,RENT,2016-02-01
1070839,2016-02-01,Charged Off, 36 months,8400.0,98000.0,31.67,690.0,,,B,MORTGAGE,2016-02-01
1070840,2016-02-01,Charged Off, 60 months,11025.0,23000.0,16.54,715.0,,< 1 year,D,RENT,2016-02-01
1070841,2016-02-01,Fully Paid, 36 months,24000.0,109000.0,20.17,660.0,2.0,4 years,B,MORTGAGE,2016-02-01
1070842,2016-02-01,Fully Paid, 36 months,24000.0,90000.0,29.47,710.0,,< 1 year,B,MORTGAGE,2016-02-01
1070843,2016-02-01,Charged Off, 36 months,8650.0,30000.0,38.04,665.0,14.0,10+ years,F,OWN,2016-02-01
1070844,2016-02-01,Fully Paid, 36 months,15000.0,49000.0,19.57,660.0,46.0,5 years,C,RENT,2016-02-01
1070845,2016-02-01,Charged Off, 36 months,9600.0,50000.0,21.67,685.0,,7 years,B,MORTGAGE,2016-02-01
1070846,2016-02-01,Fully Paid, 36 months,16000.0,70000.0,26.39,680.0,23.0,10+ years,C,MORTGAGE,2016-02-01
1070847,2016-02-01,Fully Paid, 36 months,12000.0,81000.0,10.44,715.0,24.0,2 years,A,RENT,2016-02-01
1070848,2016-02-01,Fully Paid, 36 months,9000.0,66000.0,20.82,675.0,76.0,< 1 year,C,MORTGAGE,2016-02-01
1070849,2016-02-01,Fully Paid, 36 months,12800.0,47400.0,18.96,720.0,75.0,10+ years,A,MORTGAGE,2016-02-01
1070850,2016-02-01,Fully Paid, 36 months,12800.0,65500.0,32.61,660.0,,10+ years,D,OWN,2016-02-01
1070851,2016-02-01,Charged Off, 36 months,16000.0,51600.0,17.07,660.0,,,C,RENT,2016-02-01
1070852,2016-02-01,Fully Paid, 36 months,8000.0,90000.0,8.55,680.0,45.0,< 1 year,C,RENT,2016-02-01
1070853,2016-02-01,Charged Off, 36 months,20000.0,90000.0,17.36,710.0,,7 years,A,OWN,2016-02-01
1070854,2016-02-01,Fully Paid, 36 months,14400.0,57600.0,33.73,725.0,,2 years,C,RENT,2016-02-01
1070855,2016-02-01,Fully Paid, 36 months,5000.0,25000.0,9.22,710.0,,8 years,A,RENT,2016-02-01
1070856,2016-02-01,Fully Paid, 36 months,35000.0,150000.0,20.38,685.0,,4 years,C,MORTGAGE,2016-02-01
1070857,2016-02-01,Fully Paid, 60 months,16200.0,28288.0,36.11,675.0,71.0,1 year,C,RENT,2016-02-01
1070858,2016-02-01,Fully Paid, 36 months,3200.0,40000.0,32.4,795.0,,7 years,A,RENT,2016-02-01
1070859,2016-02-01,Fully Paid, 36 months,5500.0,62920.0,1.18,785.0,,< 1 year,A,RENT,2016-02-01
1070860,2016-02-01,Fully Paid, 36 months,1925.0,53295.0,13.6,665.0,,,B,OWN,2016-02-01
1070861,2016-02-01,Fully Paid, 60 months,28000.0,170000.0,6.23,685.0,22.0,5 years,B,OWN,2016-02-01
1070862,2016-02-01,Fully Paid, 36 months,25000.0,158000.0,10.06,725.0,,1 year,A,MORTGAGE,2016-02-01
1070863,2016-02-01,Fully Paid, 36 months,10000.0,85000.0,19.58,670.0,12.0,10+ years,B,MORTGAGE,2016-02-01
1070864,2016-02-01,Fully Paid, 36 months,14200.0,38409.0,25.22,690.0,,10+ years,B,RENT,2016-02-01
1070865,2016-02-01,Fully Paid, 36 months,7000.0,125000.0,13.15,710.0,1.0,10+ years,A,MORTGAGE,2016-02-01
1070866,2016-02-01,Fully Paid, 60 months,21000.0,48000.0,13.8,660.0,,2 years,D,MORTGAGE,2016-02-01
1070867,2016-02-01,Fully Paid, 36 months,16000.0,62000.0,23.5,660.0,,10+ years,B,OWN,2016-02-01
1070868,2016-02-01,Fully Paid, 36 months,16000.0,87000.0,16.54,680.0,4.0,3 years,A,OWN,2016-02-01
1070869,2016-02-01,Charged Off, 36 months,35000.0,80000.0,19.87,665.0,,10+ years,C,MORTGAGE,2016-02-01
1070870,2016-02-01,Fully Paid, 36 months,28000.0,250000.0,18.33,700.0,,3 years,A,MORTGAGE,2016-02-01
1070871,2016-02-01,Charged Off, 36 months,24525.0,150000.0,26.63,670.0,,1 year,D,OWN,2016-02-01
1070872,2016-02-01,Current, 60 months,30000.0,67000.0,39.03,760.0,25.0,,C,OWN,2016-02-01
1070873,2016-02-01,Fully Paid, 36 months,4000.0,38773.0,26.9,810.0,,10+ years,A,MORTGAGE,2016-02-01
1070874,2016-02-01,Fully Paid, 36 months,10000.0,160000.0,9.53,685.0,,10+ years,A,RENT,2016-02-01
1070875,2016-02-01,Fully Paid, 36 months,3600.0,63000.0,11.37,680.0,,2 years,B,OWN,2016-02-01
1070876,2016-02-01,Charged Off, 36 months,35000.0,80000.0,35.29,680.0,,10+ years,E,RENT,2016-02-01
1070877,2016-02-01,Fully Paid, 36 months,24000.0,200000.0,22.98,750.0,,1 year,A,MORTGAGE,2016-02-01
1070878,2016-02-01,Current, 60 months,16000.0,52000.0,19.27,695.0,,4 years,D,RENT,2016-02-01
1070879,2016-02-01,Fully Paid, 36 months,12000.0,65000.0,19.11,660.0,12.0,10+ years,B,MORTGAGE,2016-02-01
1070880,2016-02-01,Fully Paid, 36 months,25200.0,60000.0,27.44,675.0,,10+ years,C,MORTGAGE,2016-02-01
1070881,2016-02-01,Charged Off, 60 months,33600.0,70000.0,35.82,700.0,14.0,3 years,F,RENT,2016-02-01
1070882,2016-02-01,Fully Paid, 36 months,25000.0,130000.0,5.47,685.0,79.0,4 years,A,MORTGAGE,2016-02-01
1070883,2016-02-01,Fully Paid, 36 months,5000.0,24500.0,17.49,715.0,,6 years,B,OWN,2016-02-01
1070884,2016-02-01,Fully Paid, 36 months,18000.0,137000.0,11.04,685.0,38.0,10+ years,C,RENT,2016-02-01
1070885,2016-02-01,Fully Paid, 36 months,10000.0,45000.0,17.09,705.0,31.0,10+ years,A,RENT,2016-02-01
1070886,2016-02-01,Fully Paid, 36 months,16500.0,35000.0,30.21,665.0,29.0,10+ years,C,MORTGAGE,2016-02-01
1070887,2016-02-01,Fully Paid, 36 months,24000.0,108000.0,31.58,690.0,4.0,10+ years,A,MORTGAGE,2016-02-01
1070888,2016-02-01,Current, 60 months,20000.0,54000.0,31.61,700.0,,8 years,C,MORTGAGE,2016-02-01
1070889,2016-02-01,Fully Paid, 36 months,12000.0,37000.0,39.12,660.0,,2 years,D,RENT,2016-02-01
1070890,2016-02-01,Fully Paid, 36 months,15000.0,50000.0,16.18,665.0,,8 years,B,RENT,2016-02-01
1070891,2016-02-01,Fully Paid, 36 months,18000.0,50000.0,26.88,665.0,,6 years,C,MORTGAGE,2016-02-01
1070892,2016-02-01,Fully Paid, 36 months,3000.0,17863.0,29.1,675.0,,,C,RENT,2016-02-01
1070893,2016-02-01,Fully Paid, 36 months,14400.0,47000.0,16.34,710.0,,10+ years,A,MORTGAGE,2016-02-01
1070894,2016-02-01,Fully Paid, 36 months,15000.0,95000.0,26.33,695.0,,5 years,C,MORTGAGE,2016-02-01
1070896,2016-02-01,Fully Paid, 36 months,9000.0,65000.0,10.75,670.0,,5 years,B,MORTGAGE,2016-02-01
1070897,2016-02-01,Fully Paid, 36 months,35000.0,76000.0,20.84,690.0,,1 year,B,RENT,2016-02-01
1070898,2016-02-01,Charged Off, 36 months,7000.0,35000.0,32.24,665.0,23.0,8 years,B,RENT,2016-02-01
1070899,2016-02-01,Current, 60 months,30000.0,98000.0,28.32,720.0,,6 years,C,RENT,2016-02-01
1070900,2016-02-01,Current, 60 months,10000.0,42000.0,14.09,675.0,,2 years,C,RENT,2016-02-01
1070901,2016-02-01,Fully Paid, 36 months,16775.0,57118.0,17.84,680.0,,,D,MORTGAGE,2016-02-01
1070902,2016-02-01,Fully Paid, 36 months,18000.0,150000.0,14.23,685.0,43.0,10+ years,B,MORTGAGE,2016-02-01
1070903,2016-02-01,Charged Off, 36 months,10000.0,75000.0,22.85,685.0,59.0,2 years,C,RENT,2016-02-01
1070904,2016-02-01,Current, 60 months,18000.0,70000.0,21.4,715.0,,5 years,B,RENT,2016-02-01
1070905,2016-02-01,Fully Paid, 36 months,7000.0,40000.0,17.16,770.0,,10+ years,A,OWN,2016-02-01
1070906,2016-02-01,Fully Paid, 36 months,12000.0,61000.0,29.35,700.0,20.0,10+ years,B,MORTGAGE,2016-02-01
1070907,2016-02-01,Fully Paid, 36 months,13000.0,26000.0,3.69,670.0,7.0,3 years,D,RENT,2016-02-01
1070908,2016-02-01,Fully Paid, 36 months,2500.0,70000.0,5.58,675.0,,10+ years,B,RENT,2016-02-01
1070909,2016-02-01,Fully Paid, 36 months,6000.0,42000.0,4.37,710.0,,1 year,A,RENT,2016-02-01
1070910,2016-02-01,Fully Paid, 36 months,15000.0,43500.0,21.35,715.0,,,B,RENT,2016-02-01
1070911,2016-02-01,Fully Paid, 60 months,25000.0,95000.0,8.94,660.0,18.0,5 years,D,RENT,2016-02-01
1070912,2016-02-01,Fully Paid, 60 months,20000.0,60000.0,33.36,705.0,,5 years,B,MORTGAGE,2016-02-01
1070913,2016-02-01,Charged Off, 36 months,30000.0,118000.0,26.26,670.0,30.0,5 years,F,OWN,2016-02-01
1070914,2016-02-01,Fully Paid, 36 months,4800.0,36000.0,24.4,705.0,,6 years,B,RENT,2016-02-01
1070916,2016-02-01,Fully Paid, 36 months,5000.0,30000.0,16.32,665.0,,1 year,C,RENT,2016-02-01
1070917,2016-02-01,Fully Paid, 36 months,24000.0,87000.0,7.27,720.0,25.0,9 years,A,MORTGAGE,2016-02-01
1070918,2016-02-01,Fully Paid, 36 months,5000.0,50000.0,33.27,705.0,33.0,3 years,B,RENT,2016-02-01
1070919,2016-02-01,Fully Paid, 36 months,9950.0,29321.0,18.79,725.0,,5 years,B,RENT,2016-02-01
1070920,2016-02-01,Fully Paid, 36 months,5000.0,58000.0,21.85,715.0,41.0,6 years,A,RENT,2016-02-01
